Club,PLD,HW,HD,HL,AW,AD,AL,GF,GA,GD,PTS
Man United,19,4,2,3,8,2,0,36,25,11,40
Man City,18,7,2,1,4,3,1,31,13,18,38
Leicester,19,5,1,4,7,1,1,35,21,14,38
Liverpool,19,7,2,1,2,5,2,37,22,15,34
Tottenham,18,4,3,2,5,3,1,33,17,16,33
Everton,17,4,1,3,6,1,2,28,21,7,32
West Ham,19,5,3,2,4,2,3,27,22,5,32
Aston Villa,17,4,1,3,5,1,3,31,18,13,29
Chelsea,19,4,3,2,4,2,4,33,23,10,29
Southampton,18,5,1,3,3,4,2,26,21,5,29
Arsenal,19,4,2,4,4,1,4,23,19,4,27
Leeds,18,3,2,4,4,0,5,30,34,-4,23
Crystal Palace,19,3,3,3,3,2,5,22,33,-11,23
Wolves,19,3,3,4,3,1,5,21,29,-8,22
Burnley,18,3,1,4,2,3,5,10,22,-12,19
Newcastle,19,3,2,4,2,2,6,18,32,-14,19
Brighton,19,0,5,4,3,3,4,22,29,-7,17
Fulham,18,1,3,6,1,3,4,15,27,-12,12
West Brom,19,1,2,6,1,3,6,15,43,-28,11
Sheffield United,19,1,1,8,0,1,8,10,32,-22,5
